,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2004-12-31,883355.0,254838.0,594091.0,0.0,54821.0,,,0.0,0.0,0.0,337.0,,,,0.0,,,13865.0,,,,594091.0,0.0,,883355.0,568891.0,25760.0,58753.0,1793.0,485485.0,,0.0,0.0,,,2954.0,2954.0,,256459.0,0.0,,52371.0,,0.0,,256381.0,163000.0,0.0,,-5575.0,89344.0,,,,
2005-03-31,1245116.0,657201.0,553075.0,0.0,65881.0,,,0.0,0.0,0.0,346.0,,,,0.0,,,13560.0,,,,553075.0,0.0,,1245116.0,900515.0,34230.0,51201.0,4994.0,828914.0,,0.0,0.0,,,0.0,0.0,,286710.0,0.0,,55090.0,,0.0,,286611.0,163000.0,0.0,,-6587.0,119574.0,,,,
2005-06-30,1378672.0,662804.0,680382.0,0.0,67152.0,,,0.0,0.0,0.0,382.0,,,,0.0,,,14185.0,,,,680382.0,0.0,,1378672.0,669184.0,16266.0,44001.0,1544.0,593467.0,,0.0,0.0,,,350000.0,350000.0,,298618.0,0.0,,57920.0,,0.0,,298503.0,170642.0,0.0,,-5421.0,123824.0,,,,
2005-09-30,1519576.0,805327.0,678294.0,0.0,71592.0,,,0.0,0.0,0.0,337.0,,,,0.0,,,14592.0,,,,678294.0,0.0,,1519576.0,648603.0,20457.0,45639.0,3452.0,580434.0,,0.0,0.0,,,489000.0,489000.0,,319119.0,0.0,,59759.0,,0.0,,318960.0,170642.0,0.0,,-6285.0,144281.0,,,,
2005-12-31,1068426.0,181720.0,864397.0,0.0,93334.0,,,0.0,0.0,0.0,3891.0,,,,0.0,,,10816.0,,,,864397.0,0.0,,1068426.0,203400.0,25767.0,39398.0,1659.0,116865.0,,16559.0,0.0,,,493281.0,493281.0,,334335.0,0.0,,37410.0,,0.0,,334274.0,178372.0,0.0,,-6501.0,151865.0,,,,
2006-03-31,1008027.0,182915.0,787738.0,0.0,86570.0,,,0.0,0.0,0.0,2717.0,,,,0.0,,,11061.0,,,,787738.0,0.0,,1008027.0,105010.0,23903.0,24543.0,1906.0,48633.0,,6319.0,0.0,,,496772.0,496772.0,,350835.0,0.0,,55410.0,,0.0,,350747.0,178372.0,0.0,,-7372.0,168338.0,,,,
2006-06-30,1138557.0,306112.0,795935.0,0.0,90379.0,,,0.0,0.0,0.0,2526.0,,,,0.0,,,10091.0,,,,795935.0,0.0,,1138557.0,120706.0,22063.0,70259.0,4082.0,14750.0,,0.0,0.0,,,447832.0,447832.0,,521620.0,0.0,,48399.0,,0.0,,521464.0,199556.0,0.0,,-3851.0,317871.0,,,,
2006-09-30,1363221.0,334802.0,989640.0,0.0,113039.0,,,0.0,0.0,2.129,2305.0,,,,0.0,,,9773.0,,,,989640.0,0.0,,1363221.0,317239.0,38776.0,167988.0,5918.0,92464.0,,0.0,0.0,,,450525.0,450525.0,,550946.0,0.0,,44511.0,,0.0,,550749.0,199556.0,0.0,,-4197.0,347156.0,,,,
2006-12-31,1538683.0,310852.0,1203237.0,0.0,134786.0,,,0.0,0.0,0.0,245.0,,,,0.0,,,10700.0,,,,1203237.0,5542.0,,1538683.0,662212.0,33669.0,264156.0,0.0,149861.0,,204520.0,0.0,,,450707.0,450707.0,,374648.0,0.0,,31727.0,,0.0,,374591.0,199585.0,0.0,,-6379.0,175006.0,,,,
2007-03-31,1378738.0,315910.0,1040905.0,0.0,131990.0,,,0.0,0.0,2.384,1747.0,,,,0.0,,,10773.0,,,,1040905.0,0.0,,1378738.0,527715.0,42046.0,35062.0,18433.0,243592.0,,196736.0,0.0,,,386102.0,386102.0,,414786.0,0.0,,31548.0,,0.0,,414696.0,199585.0,0.0,,-7116.0,211074.0,,,,
2007-06-30,1402929.0,306707.0,1073017.0,0.0,122459.0,,,0.0,0.0,2.462,1749.0,,,,0.0,,,11129.0,,,,1073017.0,0.0,,1402929.0,524930.0,28020.0,171317.0,10506.0,306895.0,,29.0,0.0,,,390683.0,390683.0,,436193.0,0.0,,33067.0,,0.0,,436045.0,199585.0,0.0,,-7420.0,232423.0,,,,
2007-09-30,1532189.0,320387.0,1190188.0,0.0,133944.0,,,0.0,0.0,2.531,2097.0,,,,0.0,,,9103.0,,,,1190188.0,0.0,,1532189.0,465996.0,43776.0,178660.0,15624.0,233790.0,,29.0,0.0,,,553134.0,553134.0,,473091.0,0.0,,22443.0,,0.0,,472955.0,199585.0,0.0,,-5585.0,269333.0,,,,
2007-12-31,1777421.0,343053.0,1406798.0,0.0,144191.0,,,6272.0,0.0,2.692,71.0,,,,0.0,,,10026.0,,,,1406798.0,7509.0,,1777421.0,700773.0,42679.0,212841.0,0.0,403366.0,,31199.0,0.0,,,551279.0,551279.0,,480144.0,0.0,,25767.0,,6589.0,,480061.0,199585.0,0.0,,-9368.0,280476.0,,,,
