,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2005-12-31,44710.0,23909.0,11398.0,0.0,24183.0,,,5775.0,20.0,,13666.0,,,0.0,24958.0,,,,2771.0,22641.0,2729.0,4037.0,0.0,,44710.0,15496.0,1287.0,2545.0,-250.0,7.0,,0.0,0.0,,,312.0,,,0.0,0.0,,0.0,,,7.0,25467.0,-3.0,0.0,,,11230.0,2534.0,,,,,,0.0,2713.0,0.0,0.00022103999999999998,9207.0,,0.00022103999999999998,0.0,0.0,0.0,0.0,0.0,,,,11906.0,0.0,282.0,,,-250.0,9207.0
2007-03-31,30157.0,17983.0,3968.0,0.0,13869.0,,,4710.0,0.0,,0.0,,,0.0,23037.0,,,,4000.0,20942.0,2951.0,8886.0,0.0,,30157.0,16184.0,0.0,1912.0,0.0,0.0,,0.0,0.0,,,464.0,,,0.0,0.0,,0.0,,,0.0,13973.0,104.0,0.0,,,11813.0,795.0,,,,,,0.0,0.0,0.0,5.7230000000000006e-05,5533.0,,5.7230000000000006e-05,0.0,0.0,0.0,-424.0,-424.0,,,,8430.0,0.0,235.0,,,0.0,5533.0
2007-06-30,67998.0,29986.0,4884.0,0.0,19674.0,,,7075.0,632.0,,26225.0,,,0.0,35529.0,,,,2878.0,32069.0,457.0,10460.0,0.0,,67998.0,22630.0,0.0,1264.0,-4.0,67.0,,0.0,0.0,,,492.0,,,0.0,0.0,,0.0,,,67.0,28093.0,8419.0,0.0,,,20615.0,4259.0,,,,,,0.0,0.0,0.0,0.00014604,14120.0,,0.00014812,0.0,0.0,0.0,-142.0,-142.0,,,,19598.0,0.0,238.0,,,-4.0,14120.0
2007-09-30,86483.0,38379.0,1905.0,0.0,32055.0,,,8028.0,670.0,,31099.0,,,0.0,36581.0,,,,2878.0,32945.0,335.0,14284.0,0.0,,86483.0,31457.0,0.0,2103.0,-345.0,663.0,,0.0,0.0,,,428.0,,,0.0,0.0,,0.0,,,663.0,40474.0,8419.0,0.0,,,27580.0,8539.0,,,,,,0.0,0.0,0.0,0.00012780999999999998,12381.0,,0.00013445999999999998,0.0,0.0,0.0,159.0,159.0,,,,16598.0,0.0,304.0,,,-345.0,12381.0
2007-12-31,626825.0,347106.0,264690.0,0.0,17039.0,,,14488.0,562.0,,240892.0,,,0.0,62890.0,,,,37919.0,56997.0,3698.0,25123.0,0.0,,626825.0,188092.0,0.0,7759.0,-1399.0,1316.0,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,,1316.0,27145.0,10106.0,0.0,,,42607.0,108237.0,,,,,,0.0,0.0,0.0,0.00020711,20025.0,,0.00020711,0.0,0.0,0.0,0.0,0.0,,,,23915.0,0.0,6322.0,,,-1399.0,20025.0
2008-03-31,612678.0,301695.0,220761.0,0.0,29206.0,,,14366.0,642.0,,260228.0,,,0.0,62193.0,,,,37919.0,55194.0,5519.0,23437.0,6187.0,,612678.0,162691.0,0.0,3794.0,-2359.0,3861.0,,0.0,0.0,,,1074.0,,,0.0,0.0,,0.0,,,3861.0,74312.0,45106.0,0.0,,,46306.0,86653.0,,,,,,51086.0,132.0,0.0,0.00011813999999999999,11767.0,,0.00014659,0.0,0.0,0.0,-2105.0,-2105.0,,,,19127.0,0.0,6613.0,,,-2359.0,11767.0
2008-06-30,532975.0,216136.0,135089.0,15380.0,46041.0,,,16065.0,607.0,,257096.0,,,0.0,85732.0,,,,2879.0,75467.0,7060.0,24408.0,7871.0,,532975.0,129983.0,0.0,4896.0,-4188.0,7484.0,,0.0,1811.0,,,1631.0,,,0.0,0.0,,0.0,,,7484.0,92180.0,46139.0,1012.0,,,57443.0,80000.0,,,,,,63955.0,118.0,0.0,0.00016629,16563.0,,0.00019800000000000002,0.0,0.0,0.0,-1088.0,-1088.0,,,,28325.0,0.0,5964.0,,,-4188.0,16563.0
2008-09-30,544097.0,210053.0,115112.0,19451.0,48288.0,,,17526.0,427.0,,272770.0,,,0.0,72895.0,,,,84.0,65078.0,545.0,30707.0,9165.0,,544097.0,132571.0,0.0,4173.0,-3493.0,5467.0,,543.0,2158.0,,,1782.0,,,0.0,0.0,,0.0,,,5467.0,94427.0,46139.0,1231.0,,,59292.0,74524.0,,,,,,66624.0,274.0,0.0,-5.35e-06,-533.0,,7.793e-05,0.0,0.0,0.0,-3836.0,-3836.0,,,,6085.0,0.0,6008.0,,,-3493.0,-533.0
2008-12-31,290850.0,176469.0,106841.0,16890.0,-44836.0,,,9049.0,198.0,,783.0,,,0.0,42342.0,,,,84.0,36239.0,517.0,27551.0,81315.0,,290850.0,55542.0,0.0,6005.0,-3013.0,2254.0,,-543.0,208.0,,,1954.0,,,0.0,0.0,,0.0,,,2254.0,1302.0,46138.0,1103.0,,,37132.0,8871.0,,,,,,46562.0,401.0,0.0,-0.00095119,-94742.0,,-0.00043819999999999997,0.0,0.0,0.0,530.0,530.0,,,,-89057.0,0.0,-8526.0,,,-3013.0,-94742.0
2009-03-31,285027.0,167565.0,101125.0,14893.0,-43013.0,,,3913.0,226.0,,783.0,,,0.0,38264.0,,,,84.0,34656.0,520.0,25643.0,12540.0,,285027.0,48393.0,0.0,4573.0,0.0,4537.0,,0.0,1769.0,,,4105.0,,,0.0,0.0,,12558.0,,,4537.0,3125.0,46138.0,1564.0,,,38664.0,6294.0,,,,,,48949.0,497.0,6962.0,-4.462e-05,-4444.0,,-4.3679999999999995e-05,0.0,0.0,0.0,-1347.0,-1347.0,,,,-2212.0,0.0,12389.0,,,0.0,-4444.0
2009-06-30,292709.0,174446.0,119902.0,15260.0,-32164.0,,,4718.0,154.0,,783.0,,,0.0,60440.0,,,,84.0,53884.0,523.0,24950.0,13714.0,,292709.0,56849.0,0.0,3758.0,0.0,8748.0,,0.0,1748.0,,,4327.0,,,0.0,0.0,,0.0,,,8748.0,13974.0,46138.0,1958.0,,,41261.0,4333.0,,,,,,52265.0,533.0,7840.0,-9.89e-06,-985.0,,-1.006e-05,0.0,0.0,0.0,-1083.0,-1083.0,,,,2734.0,0.0,19450.0,,,0.0,-985.0
2009-09-30,307995.0,188822.0,132982.0,15338.0,-14647.0,,,5018.0,111.0,,783.0,,,0.0,71354.0,,,,84.0,64391.0,403.0,24314.0,15062.0,,307995.0,60339.0,0.0,3049.0,0.0,6024.0,,0.0,1882.0,,,4562.0,,,0.0,0.0,,0.0,,,6024.0,31491.0,46138.0,2910.0,,,47070.0,3577.0,,,,,,59440.0,472.0,9785.0,1.649e-05,1642.0,,3.856e-05,0.0,0.0,0.0,-2419.0,-2419.0,,,,5714.0,0.0,18409.0,,,0.0,1642.0
2009-12-31,333244.99199999997,213400.0,153551.008,0.0,49566.0,0.0,0.0,0.0,0.0,10283.0,10027.0,0.0,0.0,9176.0,0.0,0.0,0.0,0.0,403.0,448.0,783.0,25327.0,83708.0,0.0,333244.99199999997,106343.0,0.0,4060.0,16105.0,19.0,440.0,41417.0,44302.0,0.0,0.0,207148.992,2.0,2626.0,204104.992,0.0,0.0,416.0,0.0,0.0,5615.0,14138.0,138.0,13972.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,79506.016,-7744.0,71761.984,-10291.0,61471.0,-9304.0,-23124.0,0.0,1865.0,-1718.0,0.0,2253.0,3824.0,-1571.0,0.0,0.0,0.0,31443.0,-6274.0,1503.0,0.0,0.0,-4041.0,22631.0
2010-03-31,492824.992,213571.008,154034.0,0.0,51706.0,0.0,0.0,0.0,0.0,7831.0,117777.0,0.0,0.0,116714.0,0.0,0.0,0.0,0.0,403.0,660.0,0.0,29119.0,132358.0,0.0,492824.992,198784.992,0.0,4757.0,15635.0,13.0,91531.0,10333.0,76516.0,0.0,0.0,267195.00800000003,0.0,2556.0,264147.00800000003,0.0,0.0,492.0,0.0,0.0,6360.0,20485.0,1218.0,14790.0,0.0,30.0,-10.0,4457.0,0.0,0.0,0.0,69265.0,-6311.0,62954.0,-9761.0,53193.0,-8823.0,-26893.0,0.0,112.0,-392.0,0.0,6715.0,15716.0,-9001.0,0.0,0.0,0.0,23912.0,-5878.0,-1846.0,0.0,0.0,0.0,16188.0
2010-06-30,479300.992,196794.0,132182.0,0.0,57302.0,0.0,0.0,0.0,0.0,7310.0,120623.0,0.0,0.0,119535.0,0.0,0.0,0.0,0.0,403.0,685.0,0.0,32323.0,129561.0,0.0,479300.992,195238.0,0.0,4423.0,18671.0,8.0,94586.0,0.0,77550.0,0.0,0.0,264722.0,0.0,2485.0,261703.008,0.0,0.0,534.0,0.0,0.0,7806.0,11535.0,1218.0,15604.0,0.0,30.0,-9774.0,4457.0,0.0,0.0,0.0,87896.0,-8028.0,79868.0,-10220.0,69648.0,-14273.0,-21595.0,0.0,338.0,-255.0,0.0,2112.0,14092.0,-11980.0,0.0,0.0,0.0,35975.0,-8224.0,-993.0,0.0,0.0,0.0,26758.0
2010-09-30,609259.0079999999,191498.0,116385.0,0.0,66151.0,0.0,0.0,0.0,0.0,8962.0,123149.0,0.0,0.0,122020.0,0.0,0.0,0.0,0.0,403.0,726.0,3154.0,33995.0,257463.008,0.0,609259.0079999999,198628.992,0.0,4258.0,21767.0,3.0,103387.0,0.0,69214.0,0.0,0.0,340707.008,0.0,34019.0,306060.0,0.0,0.0,628.0,0.0,0.0,13642.0,56281.0,1830.0,16421.0,0.0,30.0,21964.0,16036.0,0.0,0.0,0.0,96848.0,-9361.0,87487.0,-11139.0,76348.0,-12641.0,-26455.0,0.0,5992.0,-722.0,724.0,2841.0,10543.0,-7702.0,0.0,0.0,0.0,46087.0,-9062.0,-1121.0,0.0,0.0,0.0,35904.0
2010-12-31,985350.9759999999,368545.984,278449.984,0.0,81091.0,0.0,0.0,8388.0,617.0,0.0,135734.0,0.0,0.0,3554.0,0.0,0.0,7967.0,0.0,403.0,123810.0,0.0,43339.0,437732.0,0.0,985350.9759999999,231948.0,20316.0,7209.0,24125.0,0.0,101365.0,25775.0,53158.0,0.0,0.0,419012.992,0.0,74891.0,250320.0,93261.0,0.0,541.0,0.0,0.0,72543.0,261847.016,202072.992,17240.0,0.0,39202.0,0.0,3332.0,0.0,0.0,0.0,0.0,0.0,108406.0,-14635.0,93771.008,-17231.0,-36564.0,0.0,10887.0,1369.0,0.0,14912.0,33371.0,-18459.0,0.0,0.0,0.0,67144.0,-11179.0,-2784.0,0.0,0.0,-23504.0,29677.0
2011-03-31,1020371.968,307313.984,230711.008,0.0,66763.0,0.0,0.0,8575.0,1265.0,0.0,144120.992,0.0,0.0,3274.0,0.0,0.0,8523.0,0.0,403.0,131921.0,0.0,45271.0,523665.984,0.0,1020371.968,206747.008,14013.0,5081.0,19312.0,0.0,85225.0,29943.0,53173.0,0.0,0.0,437958.016,0.0,85119.0,258618.0,93741.0,0.0,480.0,0.0,0.0,99647.0,276020.00800000003,203247.008,20899.0,0.0,51874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77399.0,-13385.0,64014.0,-14699.0,-40462.0,0.0,10272.0,-742.0,0.0,7921.0,19648.0,-11727.0,0.0,0.0,0.0,26304.0,-7675.0,77.0,0.0,0.0,-2192.0,16514.0
