,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2005-03-31,82869.0,44136.0,116.0,,21504.0,13111.0,,0.0,1287.0,0.0,0.0,,,,0.0,,,,11086.0,,,37136.0,0.0,,82870.0,26626.0,0.0,11408.0,21.0,13043.0,0.0,,1808.0,,,1533.0,11086.0,,0.0,0.0,,0.0,,,,43625.0,0.0,,,,43624.0,,,,,,,0.0,367.0,16256.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,-605.0,,,,0.0
2005-06-30,68387.0,29789.0,83.0,,17956.0,9324.0,,0.0,1262.0,0.0,0.0,,,,0.0,,,,10731.0,,,37024.0,0.0,,68386.0,17207.0,0.0,3888.0,32.0,11748.0,0.0,,1340.0,,,1776.0,10731.0,,0.0,0.0,,0.0,,,,38672.0,0.0,,,,38671.0,,,,,,,0.0,231.0,23293.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,-1695.0,,,,0.0
2005-09-30,62831.0,24007.0,195.0,,11920.0,9164.0,,0.0,1236.0,0.0,0.0,,,,0.0,,,,8233.0,,,37290.0,0.0,,62830.0,16487.0,0.0,2936.0,90.0,12089.0,0.0,,1229.0,,,1830.0,8233.0,,0.0,0.0,,0.0,,,,36280.0,0.0,,,,36279.0,,,,,,,0.0,233.0,8657.0,0.0,0.0,,0.0,1611.0,,0.0,0.0,0.0,,,,0.0,,549.0,,,,0.0
2005-12-31,61424.0,22170.0,106.0,,9347.0,8838.0,,0.0,1250.0,0.0,0.0,,,,0.0,,,,7902.0,,,37711.0,0.0,,61424.0,16751.0,0.0,2544.0,-10.0,13217.0,0.0,,744.0,,,1862.0,7902.0,,0.0,0.0,,0.0,,,,34909.0,0.0,,,,34908.0,,,,,,,0.0,246.0,9187.0,0.0,0.0,,0.0,287.0,,0.0,0.0,0.0,,,,0.0,,-1791.0,,,,0.0
2006-03-31,62106.0,22978.0,75.0,,11150.0,10284.0,,0.0,1183.0,0.0,0.0,,,,0.0,,,,7740.0,,,37686.0,0.0,,62107.0,18651.0,0.0,5025.0,53.0,12107.0,0.0,,1173.0,,,1935.0,7740.0,,0.0,0.0,,0.0,,,,33781.0,0.0,,,,33780.0,,,,,,,0.0,346.0,7414.0,0.0,0.0,,0.0,556.0,,0.0,0.0,0.0,,,,0.0,,-637.0,,,,0.0
2006-06-30,61558.0,22692.0,66.0,,12681.0,9085.0,,0.0,1156.0,0.0,0.0,,,,0.0,,,,8525.0,,,37473.0,0.0,,61555.0,16864.0,0.0,5316.0,-5.0,10241.0,0.0,,1153.0,,,1842.0,8525.0,,0.0,0.0,,0.0,,,,34324.0,0.0,,,,34323.0,,,,,,,0.0,154.0,11929.0,0.0,0.0,,0.0,567.0,,0.0,0.0,0.0,,,,0.0,,-769.0,,,,0.0
2006-09-30,56120.0,17745.0,51.0,,7180.0,10657.0,,0.0,1130.0,0.0,0.0,,,,0.0,,,,8116.0,,,36004.0,0.0,,56120.0,12839.0,0.0,2175.0,115.0,9358.0,0.0,,1135.0,,,1866.0,8116.0,,0.0,0.0,,0.0,,,,33299.0,0.0,,,,33298.0,,,,,,,0.0,171.0,6615.0,0.0,0.0,,0.0,596.0,,0.0,0.0,0.0,,,,0.0,,-193.0,,,,0.0
2006-12-31,90604.0,19460.0,203.0,,9884.0,8939.0,,0.0,262.0,0.0,0.0,,,,0.0,,,,8961.0,,,68390.0,0.0,,90604.0,13795.0,0.0,2298.0,2324.0,10235.0,0.0,,1093.0,,,5491.0,8961.0,,0.0,0.0,,0.0,,,,62357.0,0.0,,,,62357.0,,,,,,,0.0,169.0,8247.0,0.0,0.0,,0.0,580.0,,0.0,0.0,0.0,,,,0.0,,-190.0,,,,0.0
2007-03-31,98630.0,27364.0,64.0,,15980.0,10932.0,,0.0,236.0,0.0,0.0,,,,0.0,,,,7704.0,,,68547.0,0.0,,98630.0,24539.0,0.0,7432.0,27.0,14792.0,0.0,,2010.0,,,5418.0,7704.0,,0.0,0.0,,0.0,,,,60969.0,0.0,,,,60969.0,,,,,,,0.0,305.0,13179.0,0.0,0.0,,0.0,727.0,,0.0,0.0,0.0,,,,0.0,,-299.0,,,,0.0
2007-06-30,94158.0,24194.0,688.0,,12553.0,10729.0,,0.0,209.0,0.0,0.0,,,,0.0,,,,7627.0,,,68190.0,0.0,,94156.0,22323.0,0.0,5415.0,-18.0,15962.0,0.0,,874.0,,,4405.0,7627.0,,61.0,0.0,,0.0,,,,59740.0,0.0,,,,59740.0,,,,,,,0.0,72.0,8949.0,0.0,0.0,,0.0,758.0,,0.0,0.0,0.0,,,,0.0,,-928.0,,,,0.0
2007-09-30,92317.0,21874.0,1833.0,,10058.0,9823.0,,0.0,184.0,0.0,0.0,,,,0.0,,,,8792.0,,,68666.0,0.0,,92319.0,21486.0,0.0,3280.0,53.0,17028.0,0.0,,1043.0,,,4379.0,8792.0,,40.0,0.0,,0.0,,,,57622.0,0.0,,,,57622.0,,,,,,,0.0,135.0,8388.0,0.0,0.0,,0.0,770.0,,0.0,0.0,0.0,,,,0.0,,-749.0,,,,0.0
2007-12-31,90871.85,20264.64,494.0,,10562.67,8715.97,,0.0,158.0,0.0,0.0,,,,20.0,,,,9841.0,,,68917.89,20.0,,90871.94,21521.0,0.0,3152.0,-367.0,16712.0,19.0,,1444.0,,,4365.0,9841.0,,0.0,68917.89,,0.0,,,,55144.94,0.0,,,,55144.94,,,,,,,0.0,194.0,9267.0,0.0,0.0,,0.0,784.0,,0.0,0.0,0.0,,,,0.0,,-530.0,,,,0.0
2008-03-31,103864.0,26933.0,37.0,,4804.0,11043.0,,0.0,133.0,0.0,3975.0,,,,0.0,,,,13068.0,,,75272.0,0.0,,103861.0,32805.0,0.0,11130.0,1.0,18099.0,0.0,,1166.0,,,0.0,13068.0,,716.0,0.0,,0.0,,,,53297.0,7745.0,,,,53297.0,,,,,,,0.0,1903.0,11591.0,507.0,507.0,,0.0,755.0,,0.0,0.0,0.0,,,,-8.0,,-516.0,,,,0.0
2008-06-30,99425.0,22941.0,188.0,,3426.0,9093.0,,0.0,108.0,0.0,3939.0,,,,20.0,,,,13886.0,,,74992.0,20.0,,99425.0,25922.0,0.0,4933.0,26.0,17764.0,0.0,,893.0,,,0.0,13886.0,,414.0,0.0,,0.0,,,,55264.0,8005.0,,,,55264.0,,,,,,,0.0,2308.0,9923.0,24.0,24.0,,0.0,917.0,,0.0,0.0,0.0,,,,0.0,,-2123.0,,,,0.0
2008-09-30,103197.59,24102.15,114.94,,2224.59,9793.62,,0.0,84.0,0.0,3898.81,,,,20.0,,,,16112.0,,,76216.25,20.0,,103196.35,29819.0,0.0,6978.0,0.0,20913.0,0.0,,1464.0,,,0.0,16112.0,,0.0,0.0,,0.0,,,,53366.53,8229.0,,,,53366.53,,,,,,,0.0,340.0,10935.0,124.0,124.0,,0.0,956.0,,0.0,0.0,0.0,,,,0.0,,-1144.0,,,,0.0
2008-12-31,107088.0,20177.0,278.0,,2458.0,10646.0,,6326.0,62.0,0.0,3860.0,,,,20.0,,,,17977.0,,,78063.0,20.0,,107089.0,32864.0,0.0,5769.0,0.0,22443.0,933.0,,3552.0,,,0.0,17977.0,,423.0,78063.0,,0.0,,,,51965.0,81.0,,,,51965.0,,,,,,,0.0,167.0,10281.0,0.0,0.0,,0.0,1026.0,,0.0,0.0,0.0,,,,0.0,,-285.0,,,,1510.0
2009-03-31,117727.59,30971.99,265.0,,6404.82,16049.22,,6419.38,46.0,0.0,3826.44,,,,20.0,,,,15578.0,,,77758.8,20.0,,117728.41,47338.0,0.0,15295.0,0.0,25089.0,1480.0,,2045.0,,,0.0,15578.0,,504.0,0.0,,0.0,,,,50481.97,544.0,,,,50481.97,,,,,,,0.0,1350.0,11704.0,2079.0,2079.0,,0.0,1046.0,,0.0,0.0,0.0,,,,0.0,,-1153.0,,,,1325.0
