,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-12-31,4098032.0,462095.0,265562.0,0.0,0.0,21565.0,,80019.0,984.0,0.0,3424695.0,,,,0.00037653,142931.0,0.0,3.761000000000001e-05,,20643.0,14194.0,0.0,0.0,,4098032.0,192412.0,,17941.0,58994.0,0.0,,43789.0,19099.0,0.0,,81890.0,81890.0,,480039.0,16374.0,,20069.0,,,0.0,3327317.0,3.761000000000001e-05,3327317.0,,0.0,0.0,,,0.0,,,,142262.0,0.0,4269.0,,0.0,,2.624e-05,0.0,0.0,0.0,9190.0,2.624e-05,,,,-16.0,64871.0,10017.0,,,0.0,9884.0
2002-03-31,4119241.0,515664.0,323531.0,0.0,0.0,23639.0,,71856.0,0.0,0.0,3393113.0,,,,0.0,120641.0,0.0,5.329e-05,,21730.0,14194.0,0.0,0.0,,4119241.0,193814.0,,14655.0,56251.0,0.0,,43789.0,25606.0,0.0,,78932.0,78932.0,,475063.0,16374.0,,22454.0,,,0.0,3355058.0,5.329e-05,3355058.0,,0.0,0.0,,,0.0,,,,166668.0,0.0,48231.0,,0.0,,4.6219999999999995e-05,0.0,0.0,0.0,4064.0,4.6219999999999995e-05,,,,43985.0,0.0,9841.0,,,0.0,27741.0
2002-06-30,4135261.0,515004.0,323002.0,0.0,0.0,20864.0,,83113.0,0.0,0.0,3388522.0,,,,0.0,175783.0,0.0,7.989000000000001e-05,,21685.0,14194.0,0.0,0.0,,4135261.0,214369.0,,11316.0,66688.0,0.0,,49592.0,29561.0,0.0,,87342.0,87342.0,,472769.0,16374.0,,24978.0,,,0.0,3344407.0,7.989000000000001e-05,3344407.0,,0.0,0.0,,,0.0,,,,160102.0,0.0,-19309.0,,0.0,,7.281e-05,0.0,0.0,0.0,5103.0,7.281e-05,,,,-23556.0,0.0,12291.0,,,0.0,43702.0
2002-09-30,4184712.0,537253.0,348898.0,0.0,0.0,20416.0,,57216.0,0.0,0.0,3340609.0,,,,0.0,162365.0,0.0,0.00010244,,20952.0,4245.0,0.0,56596.0,,4184712.0,197181.0,,8508.0,63906.0,0.0,,29628.0,29737.0,0.0,,109295.0,109295.0,,492215.0,16374.0,,34158.0,,,0.0,3369647.0,0.00010244,3369647.0,,0.0,0.0,,,0.0,,,,196731.0,0.0,43447.0,,0.0,,9.536999999999999e-05,81554.0,0.0,0.0,4631.0,9.536999999999999e-05,,,,39201.0,0.0,15192.0,,,0.0,57240.0
2002-12-31,4269304.0,561340.0,368166.0,0.0,0.0,20871.0,,56075.0,5255.0,0.0,3374005.0,,,,0.00085779,213587.0,0.0,7.281e-05,,34433.0,4245.0,0.0,56596.0,,4269304.0,267642.0,,25690.0,62365.0,0.0,,58669.0,42173.0,0.0,,92913.0,92913.0,,542841.0,16374.0,,42840.0,,,0.0,3349534.0,7.281e-05,3349534.0,,0.0,0.0,,,0.0,,,,197207.0,0.0,-8887.0,,0.0,,6.573e-05,81554.0,0.0,0.0,5233.0,6.573e-05,,,,-13133.0,149135.0,10030.0,,,0.0,39454.0
2003-03-31,4211677.0,546957.0,310413.0,0.0,0.0,21206.0,,106071.0,3703.0,0.0,3325250.0,,,,0.0,124329.0,0.0,7.444e-05,,19114.0,4245.0,0.0,56596.0,,4211677.0,188148.0,,7921.0,59190.0,0.0,,13347.0,41769.0,0.0,,90645.0,90645.0,,528401.0,16374.0,,43143.0,,,0.0,3388109.0,7.444e-05,3388109.0,,0.0,0.0,,,0.0,,,,186999.0,0.0,66653.0,,0.0,,6.736e-05,81554.0,0.0,0.0,6130.0,6.736e-05,,,,62407.0,0.0,15606.0,,,0.0,40431.0
2003-06-30,4239299.0,535832.0,265381.0,0.0,0.0,24388.0,,134934.0,2239.0,0.0,3323732.0,,,,0.0,196938.0,0.0,0.00010015000000000001,,16566.0,4245.0,0.0,56596.0,,4239299.0,248060.0,,21678.0,58584.0,0.0,,62789.0,45447.0,0.0,,70338.0,70338.0,,528672.0,16374.0,,49593.0,,,0.0,3375855.0,0.00010015000000000001,3375855.0,,0.0,0.0,,,0.0,,,,180365.0,0.0,-12085.0,,0.0,,9.308e-05,81554.0,0.0,0.0,5767.0,9.308e-05,,,,-16332.0,0.0,21621.0,,,0.0,55867.0
2003-09-30,4290688.0,571346.0,272430.0,0.0,0.0,22597.0,,141478.0,396.0,0.0,3351732.0,,,,0.0,226013.0,0.0,0.00013838,,16806.0,4245.0,0.0,56596.0,,4290688.0,283875.0,,24865.0,66896.0,0.0,,72567.0,57744.0,0.0,,68627.0,68627.0,,540517.0,16374.0,,53025.0,,,0.0,3381295.0,0.00013838,3381295.0,,0.0,0.0,,,0.0,,,,237593.0,0.0,10733.0,,0.0,,0.00013131,81554.0,0.0,0.0,5810.0,0.00013131,,,,6487.0,0.0,21045.0,,,0.0,78812.0
2003-12-31,4358799.0,605037.0,317583.0,0.0,0.0,21052.0,,127538.0,5562.0,0.0,3408637.0,,,,0.00025185,162637.0,0.0,8.582e-05,,18342.0,4245.0,0.0,56597.0,,4358799.0,262377.0,,25832.0,81153.0,0.0,,72556.0,17253.0,0.0,,55706.0,55706.0,,602896.0,16374.0,,56729.0,,,0.0,3421446.0,8.582e-05,3421446.0,,0.0,0.0,,,0.0,,,,241636.0,0.0,81647.0,,0.0,,7.875e-05,81598.0,0.0,0.0,5819.0,7.875e-05,,,,77401.0,147249.0,16557.0,,,0.0,47266.0
2004-03-31,4403884.0,669069.0,396746.0,0.0,0.0,22015.0,,115483.0,3574.0,0.0,3392486.0,,,,0.0,132970.0,0.0,0.00012200999999999999,,11361.0,4245.0,0.0,56476.0,,4403884.0,266232.0,,11109.0,72649.0,0.0,,72554.0,50123.0,0.0,,51542.0,51542.0,,579301.0,16374.0,,59274.0,,,0.0,3490435.0,0.00012200999999999999,3490435.0,,0.0,0.0,,,0.0,,,,235979.0,0.0,108554.0,,0.0,,0.00011494,81598.0,0.0,0.0,4607.0,0.00011494,,,,104308.0,0.0,15474.0,,,0.0,68989.0
2004-06-30,4395228.0,651919.0,401163.0,0.0,0.0,21852.0,,94722.0,2397.0,0.0,3406624.0,,,,4.489e-05,177378.0,0.0,0.00011156000000000001,,11841.0,4245.0,0.0,56486.0,,4395228.0,231895.0,,20895.0,65526.0,0.0,,25687.0,58445.0,0.0,,36568.0,36568.0,,584417.0,16374.0,,59643.0,,,0.0,3525974.0,0.00011156000000000001,3525974.0,,0.0,0.0,,,0.0,,,,234313.0,0.0,61771.0,,0.0,,0.00010449,82117.0,0.0,0.0,4863.0,0.00010449,,,,57525.0,27177.0,15446.0,,,0.0,62716.0
2004-09-30,4506311.0,767390.0,507385.0,0.0,0.0,24136.0,,70652.0,447.0,0.0,3404809.0,,,,0.0,145725.0,0.0,0.00017194999999999998,,12445.0,4245.0,0.0,56486.0,,4506311.0,205545.0,,18145.0,83503.0,0.0,,25646.0,16569.0,0.0,,31094.0,31094.0,,628325.0,16374.0,,60042.0,,,0.0,3624973.0,0.00017194999999999998,3624973.0,,0.0,0.0,,,0.0,,,,290269.0,0.0,154023.0,,0.0,,0.00016487,82105.0,0.0,0.0,6189.0,0.00016487,,,,149777.0,0.0,17110.0,,,0.0,98959.0
