,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2006-12-31,18245.0,252.0,88.0,0.0,0.0,0.0,,75.0,64.0,0.0,0.0,,,,,,,835.0,5225.0,0.0,0.0,12280.0,0.0,,18245.0,428.0,0.0,66.0,0.0,0.0,,,0.0,11817.0,,0.0,0.0,0.0,56.0,0.0,,0.0,,,4492.0,6635.0,10580.0,0.0,,-3945.0,11127.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,-427.0,0.0,0.0,0.0,0.0,0.0,,,,-427.0,-372.0,0.0,,,0.0,-427.0
2007-09-30,68574.0,20512.0,20286.0,0.0,0.0,0.0,,80.0,0.0,0.0,0.0,,,,,,,1043.0,7447.0,0.0,0.0,40608.0,0.0,,68574.0,59387.0,56555.0,259.0,0.0,0.0,,,0.0,12566.0,,0.0,0.0,24828.0,72.0,0.0,,0.0,,,4235.0,1849.0,10580.0,0.0,,-8731.0,6084.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,-3243.0,0.0,0.0,0.0,0.0,0.0,,,,-3243.0,-573.0,0.0,,,0.0,-3243.0
2007-12-31,2115143.0,1899799.0,1865841.0,0.0,0.0,0.0,,349.0,0.0,0.0,0.0,,,,,,,1005.0,96199.0,0.0,3500.0,104773.0,0.0,,2115143.0,176361.0,163184.0,3163.0,0.0,0.0,,,0.0,12679.0,,0.0,0.0,88991.0,0.0,0.0,,0.0,,,4236.0,1818861.0,1926945.0,0.0,,-108084.0,1823097.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,-99353.0,0.0,0.0,-92386.0,0.0,0.0,,,,-99353.0,-646.0,0.0,,,0.0,-99353.0
2008-03-31,2464287.0,2135245.0,2097709.0,0.0,0.0,0.0,,2321.0,0.0,0.0,0.0,,,,,,,1748.0,183604.0,0.0,3500.0,110090.0,0.0,,2464287.0,210299.0,701.0,6624.0,0.0,49.0,,,0.0,12742.0,,264928.0,264928.0,96271.0,69.0,0.0,,0.0,,,4850.0,1962851.0,2045990.0,0.0,,-83139.0,1967701.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,33022.0,0.0,0.0,-6507.0,0.0,0.0,,,,33022.0,-671.0,0.0,,,-125.0,24945.0
2008-06-30,2745650.0,2097483.0,2033432.0,0.0,0.0,1112.0,,56211.0,0.0,0.0,0.0,,,,,,,3396.0,212764.0,0.0,3500.0,397146.0,1112.0,,2745650.0,540618.0,445403.0,5871.0,0.0,53.0,,,0.0,13132.0,,0.0,0.0,381414.0,133.0,0.0,,0.0,,,29839.0,1992132.0,2045990.0,0.0,,-53858.0,2021971.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,38505.0,0.0,0.0,-7673.0,0.0,0.0,,,,38505.0,-796.0,0.0,,,-9.0,29281.0
2008-09-30,2904229.0,1876089.0,1828627.0,0.0,0.0,308.0,,40920.0,0.0,0.0,0.0,,,,,,,2624.0,139746.0,0.0,3780.0,776667.0,308.0,,2904229.0,691953.0,538943.0,4253.0,0.0,64.0,,,0.0,1147.0,,0.0,0.0,773860.0,142.0,0.0,,0.0,,,37076.0,2020418.0,2045990.0,0.0,,-25572.0,2057494.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,39568.0,0.0,0.0,0.0,-5.0,0.0,,,,39568.0,-964.0,0.0,,,0.0,28287.0
2008-12-31,3456922.0,2029012.0,1858792.0,0.0,8576.0,1238.0,,160406.0,0.0,0.0,0.0,,,,,,,4272.0,83565.0,0.0,280.0,1140641.0,1238.0,,3456922.0,1156396.0,882907.0,34238.0,0.0,60.0,,,0.0,85579.0,,0.0,0.0,1052003.0,1515.0,0.0,,0.0,,,46845.0,2095847.0,2041695.0,0.0,,51193.0,2142692.0,0.0,,,,,,8105.0,0.0,0.0,,0.0,,131783.0,0.0,0.0,-8436.0,262.0,0.0,,,,131783.0,-1213.0,0.0,,,-51.0,121565.0
2009-03-31,3734283.0,1967023.0,1839716.0,0.0,36880.0,1016.0,,49839.0,0.0,0.0,0.0,,,,,,,6972.0,62548.0,0.0,280.0,1295409.0,1016.0,,3734283.0,1136152.0,883232.0,15613.0,0.0,107.0,,,0.0,73219.0,,312768.0,312768.0,1218009.0,1072.0,0.0,,0.0,,,45676.0,2103753.0,2041695.0,0.0,,61320.0,2149429.0,0.0,,,,,,24157.0,0.0,0.0,,0.0,,20058.0,0.0,0.0,0.0,0.0,0.0,,,,20058.0,-2791.0,0.0,,,1170.0,1700.0
2009-06-30,3474704.0,1725925.0,1612294.0,0.0,4656.0,1108.0,,97848.0,0.0,0.0,38665.0,,,,,,,7868.0,73517.0,0.0,560.0,1461922.0,1108.0,,3474704.0,1317760.0,1087735.0,19707.0,0.0,118.0,,,0.0,83834.0,,0.0,0.0,1373240.0,1331.0,13977.0,,0.0,,,45690.0,2002092.0,2041805.0,0.0,,-18809.0,2047782.0,0.0,,,,,,12958.0,0.0,0.0,,0.0,,-134250.0,0.0,0.0,0.0,0.0,0.0,,,,-134250.0,-3020.0,0.0,,,14.0,-124596.0
2009-09-30,3603511.0,1467676.0,1351850.0,0.0,5621.0,405.0,,81081.0,0.0,0.0,100135.0,,,,,,,8978.0,73146.0,0.0,560.0,1593043.0,405.0,,3603511.0,1278468.0,978098.0,22531.0,0.0,220.0,,,0.0,83222.0,,0.0,0.0,1504917.0,2318.0,33231.0,,0.0,,,42462.0,1897388.0,2041805.0,0.0,,-109560.0,1939850.0,0.0,,,,,,12379.0,0.0,0.0,,0.0,,-141564.0,0.0,0.0,0.0,0.0,0.0,,,,-141564.0,-4074.0,0.0,,,2828.0,-106104.0
2009-12-31,4219305.984,1749218.0480000002,1638733.0559999999,0.0,11740.0,2610.0,0.0,0.0,0.0,96135.0,391513.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,389929.984,560.0,1988668.032,40885.0,48461.0,4219305.984,952412.032,0.0,34006.0,32491.0,589889.024,1966.0,0.0,216020.992,78039.0,0.0,1320226.048,959481.984,0.0,0.0,0.0,0.0,360744.0,0.0,0.0,39308.0,1907360.0,2041917.9519999998,6122.0,0.0,0.0,-100225.0,-40455.0,0.0,0.0,0.0,17435.0,-3018.0,14417.0,-28752.0,-14335.0,238.0,-86968.992,0.0,-92.0,405.0,0.0,86608.0,-1065636.992,1152244.992,-11932.0,-641.0,-11291.0,-26076.992000000002,-1345.0,38027.0,0.0,0.0,4354.0,14959.008
2010-03-31,4421009.92,1208621.0559999999,628865.9839999999,0.0,11876.0,5028.0,0.0,0.0,0.0,562851.0079999999,935241.0240000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456.0,933785.0240000001,4699.0,2214802.944,57646.0,0.0,4421009.92,621817.024,0.0,44447.0,6779.0,314694.016,3055.0,0.0,168176.992,84665.0,0.0,1990254.976,1109020.0320000001,0.0,71931.0,0.0,0.0,809304.0,0.0,0.0,0.0,1808937.9840000002,2041917.9519999998,175124.992,0.0,0.0,-372268.0,-35837.0,0.0,0.0,0.0,23608.0,-4807.0,18801.0,-26538.0,-7737.0,-406.0,-52146.0,0.0,6425.0,-22985.0,0.0,-25477.0,60307.0,-85784.0,0.0,0.0,0.0,-102326.0,0.0,6642.0,0.0,0.0,-1096.0,-96780.0
2010-06-30,5598152.192000001,2059147.0080000001,611529.9839999999,0.0,13631.0,5335.0,0.0,0.0,0.0,1428651.0080000001,991670.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,990035.0079999999,13525.0,2471397.8880000003,62412.0,0.0,5598152.192000001,1451420.032,0.0,49098.0,2326.0,313296.99199999997,3670.0,0.0,147594.0,935435.0079999999,0.0,2387715.0719999997,1472683.0080000001,0.0,89240.0,0.0,0.0,825792.0,0.0,0.0,40990.0,1718027.0080000001,2041917.9519999998,191224.992,0.0,0.0,-481335.008,-33781.0,0.0,0.0,0.0,25880.0,-3250.0,22630.0,-23431.0,-801.0,0.0,-56043.0,0.0,740.0,-12878.0,-4101.0,-27049.0,67562.0,-94611.0,0.0,0.0,0.0,-100132.0,0.0,31810.0,0.0,0.0,-300.0,-68622.0
