,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2002-03-31,110557.0,43112.0,1360.0,0.0,17990.0,17686.0,,5290.0,786.0,0.0,-7685.0,,,,110557.0,,0.0,32340.0,12297.0,0.0,567.0,42629.0,9235.0,,10041.0,78182.0,0.0,10152.0,11425.0,51105.0,,,2757.0,,,0.0,10041.0,,5334.0,,,18767.0,8973.0,,1417.0,-9102.0,37098.4,0.0,,41.0,12710.0,383.0,0.0,0.0,
2002-06-30,111373.0,44245.0,1995.0,0.0,18706.0,18026.0,,4725.0,793.0,0.0,-16062.0,,,,111373.0,,0.0,32340.0,12297.0,0.0,559.0,41742.0,9356.0,,9753.0,87832.0,0.0,8989.0,12687.0,59307.0,,,3272.0,,,0.0,9753.0,,12191.0,,,18472.0,10868.0,,1417.0,-17479.0,37098.4,0.0,,548.0,13236.0,386.0,0.0,0.0,
2002-09-30,111715.0,48935.0,1753.0,0.0,22840.0,18127.0,,5001.0,1214.0,0.0,-38793.0,,,,111715.0,,0.0,32340.0,12297.0,0.0,549.0,41115.0,5435.0,,9466.0,106553.0,0.0,10641.0,14175.0,73903.0,,,4379.0,,,0.0,9466.0,,19445.0,,,22329.0,10281.0,,1354.0,-40147.0,37098.4,0.0,,581.0,13240.0,398.0,0.0,0.0,
2002-12-31,92258.0,44541.0,2074.0,0.0,18231.0,17866.0,,5031.0,1339.0,0.0,-60561.0,,,,92258.0,,0.0,32340.0,0.0,0.0,534.0,42619.0,1410.0,,442.0,113165.0,0.0,7568.0,14406.0,83663.0,,,4276.0,,,0.0,442.0,,5268.0,,,27452.0,10398.0,,1334.0,-61895.0,37098.4,0.0,,622.0,3846.0,277.0,0.0,0.0,
2003-03-31,95425.0,48169.0,1552.0,0.0,20777.0,19332.0,,5044.0,1464.0,0.0,-62782.0,,,,95424.0,,0.0,32340.0,0.0,0.0,525.0,42270.0,1305.0,,739.0,117932.0,0.0,10989.0,15918.0,82181.0,,,4306.0,,,0.0,739.0,,2981.0,,,27464.0,9567.0,,1316.0,-64098.0,37098.4,0.0,,709.0,3741.0,277.0,0.0,0.0,
2003-06-30,97802.0,50077.0,1507.0,0.0,23269.0,19030.0,,5200.0,1071.0,0.0,-58639.0,,,,97802.0,,0.0,32340.0,0.0,0.0,516.0,42770.0,1200.0,,744.0,114962.0,0.0,10408.0,18045.0,77621.0,,,3866.0,,,0.0,744.0,,0.0,,,28338.0,11173.0,,1299.0,-59938.0,37098.4,0.0,,751.0,3846.0,325.0,0.0,0.0,
2003-09-30,98496.0,50826.0,1990.0,0.0,24449.0,17914.0,,5744.0,729.0,0.0,-62899.0,,,,98496.0,,0.0,32340.0,0.0,0.0,506.0,42773.0,0.0,,747.0,118719.0,0.0,9522.0,20073.0,79981.0,,,3813.0,,,0.0,747.0,,6404.0,,,29238.0,10254.0,,1280.0,-64179.0,37098.4,0.0,,766.0,0.0,374.0,0.0,0.0,
2003-12-31,93944.0,46547.0,2497.0,0.0,19378.0,18012.0,,6243.0,417.0,0.0,-53223.0,,,,93944.0,,0.0,32340.0,0.0,0.0,497.0,42818.0,1000.0,,214.0,89041.0,0.0,6692.0,6424.0,67067.0,,,2426.0,,,0.0,214.0,,2427.0,,,45293.0,9029.0,,1263.0,-54486.0,37098.4,0.0,,333.0,3847.0,599.0,0.0,0.0,
2004-03-31,100880.0,53945.0,3084.0,0.0,25476.0,17458.0,,7295.0,632.0,0.0,-57084.0,,,,100880.0,,0.0,32340.0,0.0,0.0,487.0,42304.0,912.0,,187.0,97703.0,0.0,10114.0,7655.0,69876.0,,,2203.0,,,0.0,187.0,,3395.0,,,47179.0,10370.0,,1245.0,-58329.0,37098.4,0.0,,339.0,3846.0,740.0,0.0,0.0,
2004-06-30,106398.0,60898.0,3131.0,0.0,28002.0,20469.0,,8753.0,543.0,0.0,-61749.0,,,,106398.0,,0.0,32340.0,0.0,0.0,478.0,40989.0,855.0,,161.0,102933.0,0.0,10777.0,9187.0,75238.0,,,2088.0,,,0.0,161.0,,7785.0,,,52137.0,11792.0,,1203.0,-62952.0,37098.4,0.0,,349.0,3847.0,684.0,0.0,0.0,
2004-09-30,110155.0,65079.0,5099.0,0.0,29006.0,21558.0,,8985.0,431.0,0.0,-60249.0,,,,110155.0,,0.0,32340.0,0.0,0.0,477.0,40719.0,797.0,,144.0,103182.0,0.0,10917.0,10434.0,74514.0,,,1759.0,,,0.0,144.0,,1833.0,,,54093.0,11611.0,,1181.0,-61430.0,37098.4,0.0,,203.0,3847.0,751.0,0.0,0.0,
2004-12-31,101067.0,56134.0,1537.0,0.0,21738.0,24376.0,,8234.0,249.0,0.0,-68937.0,,,,101067.0,,0.0,32340.0,0.0,0.0,194.0,40299.0,0.0,,106.0,95885.0,0.0,6885.0,10510.0,71400.0,,,1581.0,,,0.0,106.0,,2787.0,,,61883.0,10696.0,,1229.0,-70166.0,37098.4,0.0,,433.0,0.0,756.0,0.0,0.0,
