,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2002-03-31,2749617.0,382805.0,0.0,0.0,93822.0,88370.0,,13685.0,,267374.0,0.0,0.0,,,,,56733.0,143179.0,,,0.0,1855977.0,2749617.0,,1238024.0,436060.0,0.0,26797.0,0.0,337438.0,,11070.0,0.0,,,791463.0,0.0,,17493.0,0.0,,291012.0,,,0.0,1522094.0,93304.96,0.0,,0.0,0.0,0.0,,0.0,
2002-06-30,2952292.0,489721.0,0.0,0.0,141985.0,90137.0,,13784.0,,267374.0,0.0,0.0,,,,,60964.0,145311.0,,,0.0,1849439.0,2952292.0,,1238024.0,510089.0,0.0,54790.0,0.0,404301.0,,6.0,0.0,,,883355.0,0.0,,17436.0,0.0,,384253.0,,,0.0,1533129.0,93304.96,0.0,,0.0,0.0,0.0,,0.0,
2002-09-30,3475910.0,684917.0,0.0,0.0,168554.0,97983.0,,26344.0,,267374.0,0.0,0.0,,,,,15824.0,269466.0,,,523977.0,1952405.0,3475910.0,,1238024.0,661308.0,0.0,85107.0,0.0,521934.0,,5.0,0.0,,,1187188.0,0.0,,22366.0,0.0,,720.0,,,0.0,1528080.0,93304.96,0.0,,0.0,0.0,0.0,,0.0,
2002-12-31,6222441.0,2765093.0,0.0,0.0,408822.0,289133.0,,83666.0,,617222.0,0.0,0.0,,,,,389354.0,266198.0,,,0.0,2720140.0,6222441.0,,1137737.0,2194173.0,0.0,811247.0,0.0,1254449.0,,70228.0,0.0,,,1995995.0,0.0,,19178.0,31300.0,,27483.0,,,99343.0,1754959.0,93304.96,0.0,,0.0,0.0,0.0,,0.0,
2003-03-31,3415346.0,1221897.0,0.0,0.0,168352.0,112068.0,,16141.0,,407565.0,0.0,0.0,,,,,16367.0,125423.0,,,0.0,2011322.0,3415346.0,,1238024.0,640696.0,0.0,83912.0,0.0,481038.0,,43744.0,0.0,,,951200.0,0.0,,92018.0,0.0,,1414.0,,,0.0,1730279.0,93304.96,0.0,,-5959.0,0.0,0.0,,0.0,
2003-06-30,3363105.0,1151933.0,0.0,0.0,180833.0,113047.0,,15976.0,,407565.0,0.0,0.0,,,,,16869.0,131659.0,,,0.0,2016031.0,3363105.0,,1238024.0,563926.0,0.0,82809.0,0.0,443627.0,,12.0,0.0,,,840626.0,0.0,,89450.0,0.0,,854.0,,,0.0,1875935.0,93304.96,0.0,,-9243.0,0.0,0.0,,0.0,
2003-09-30,3343762.0,1131743.0,0.0,0.0,186681.0,118633.0,,13657.0,,407565.0,0.0,0.0,,,,,16347.0,106716.0,,,0.0,2035287.0,3343762.0,,1238024.0,862530.0,0.0,76714.0,0.0,745556.0,,10.0,0.0,,,463961.0,0.0,,73045.0,0.0,,811.0,,,0.0,1940263.0,93304.96,0.0,,-3912.0,0.0,0.0,,0.0,
2003-12-31,5998492.0,2270688.0,0.0,0.0,412148.0,383841.0,,69462.0,,1031156.0,0.0,0.0,,,,,345340.0,187899.0,,,0.0,3060498.0,5998492.0,,1287737.0,1864590.0,0.0,238207.0,0.0,1444468.0,,120503.0,0.0,,,1533347.0,0.0,,87370.0,27713.0,,23622.0,,,115606.0,2318893.0,93304.96,0.0,,-5051.0,0.0,0.0,,0.0,
2004-03-31,5949480.0,2147867.0,0.0,0.0,442218.0,380982.0,,35813.0,,1029302.0,0.0,0.0,,,,,335293.0,202014.0,,,0.0,3143118.0,5949480.0,,1287737.0,1770219.0,0.0,238065.0,0.0,1391578.0,,120252.0,0.0,,,1460322.0,0.0,,78087.0,0.0,,24026.0,,,120665.0,2434808.0,93304.96,0.0,,-5059.0,0.0,0.0,,0.0,
2004-06-30,6172483.0,2502977.0,0.0,0.0,498175.0,372814.0,,72812.0,,799723.0,0.0,0.0,,,,,24712.0,223523.0,,,0.0,3284090.0,6172483.0,,1477963.0,1820880.0,0.0,247109.0,0.0,1549193.0,,285.0,0.0,,,1699218.0,0.0,,79554.0,0.0,,30868.0,,,0.0,2488857.0,127968.07,0.0,,5059.0,0.0,0.0,,0.0,
2004-09-30,6227944.0,2487073.0,0.0,0.0,568852.0,394565.0,,62524.0,,793288.0,0.0,0.0,,,,,3173.0,177999.0,,,0.0,3413624.0,6227944.0,,1477963.0,1371826.0,0.0,283776.0,0.0,1052534.0,,1005.0,0.0,,,1985926.0,0.0,,95073.0,0.0,,27272.0,,,0.0,2699747.0,127968.07,0.0,,0.0,0.0,0.0,,0.0,
2004-12-31,5991849.0,2207035.0,0.0,0.0,560260.0,405995.0,,43199.0,,1283378.0,0.0,0.0,,,,,1418.0,137853.0,,,0.0,3459870.0,5991849.0,,1477963.0,1169109.0,0.0,201485.0,0.0,814464.0,,81836.0,0.0,,,1887714.0,0.0,,124968.0,13147.0,,25796.0,,,0.0,2746261.0,127968.07,0.0,,0.0,0.0,0.0,,0.0,
2005-03-31,6705132.0,2061956.0,0.0,0.0,585489.0,495209.0,,59283.0,,1374361.0,0.0,0.0,,,,,4796.0,138526.0,,,502363.0,3790212.0,6705132.0,,1477963.0,1286385.0,0.0,202909.0,0.0,982684.0,,30710.0,0.0,,,2341076.0,0.0,,82041.0,19999.0,,25893.0,,,0.0,2837244.0,127968.07,0.0,,0.0,0.0,0.0,,0.0,
2005-06-30,6983723.0,2291114.0,0.0,0.0,560710.0,509854.0,,56255.0,,1632844.0,0.0,0.0,,,,,4544.0,133980.0,,,502363.0,3837164.0,6983723.0,,1477963.0,1226266.0,0.0,221961.0,0.0,919808.0,,360.0,0.0,,,2424638.0,0.0,,93888.0,22662.0,,24173.0,,,0.0,3095727.0,127968.07,0.0,,0.0,0.0,0.0,,0.0,
2005-09-30,6965641.0,2232145.0,0.0,0.0,638060.0,485223.0,,55416.0,,1786023.0,0.0,0.0,,,,,4315.0,138622.0,,,477245.0,3892148.0,6965641.0,,1479990.0,1236556.0,0.0,194815.0,0.0,949221.0,,351.0,0.0,,,2234816.0,0.0,,97849.0,25220.0,,25082.0,,,0.0,3250933.0,127968.07,0.0,,0.0,0.0,0.0,,0.0,
2005-12-31,7320396.0,2417366.0,0.0,0.0,714141.0,463068.0,,95464.0,,1629507.0,0.0,0.0,,,,,120095.0,140505.0,,,465601.0,4085334.0,7320396.0,,1479990.0,1437929.0,0.0,232373.0,0.0,1009813.0,,119265.0,0.0,,,2546980.0,0.0,,88086.0,23277.0,,19377.0,,,0.0,3109497.0,127968.07,0.0,,0.0,0.0,0.0,,0.0,
2006-03-31,7444806.0,2250774.0,0.0,0.0,652473.0,480783.0,,61926.0,,1781695.0,0.0,0.0,,,,,126094.0,137654.0,,,0.0,4344402.0,7444806.0,,1479990.0,1224402.0,0.0,212528.0,0.0,943626.0,,720.0,0.0,,,2706006.0,0.0,,89765.0,25715.0,,471920.0,,,0.0,3261685.0,127968.07,0.0,,0.0,0.0,0.0,,0.0,
2006-06-30,8792085.0,2539343.0,0.0,0.0,734447.0,539928.0,,63783.0,,1885044.0,0.0,0.0,,,,,136865.0,136225.0,,,0.0,5120554.0,8792085.0,,2053620.0,1330727.0,0.0,258058.0,0.0,986018.0,,460.0,0.0,,,3209567.0,0.0,,107891.0,34008.0,,714566.0,,,0.0,3938664.0,134754.27,0.0,,0.0,0.0,0.0,,0.0,
2006-09-30,9439911.0,2786451.0,0.0,0.0,734421.0,534285.0,,146066.0,,1926244.0,0.0,0.0,,,,,144942.0,156665.0,,,0.0,5428597.0,9439911.0,,2053620.0,1171857.0,0.0,242990.0,0.0,826387.0,,457.0,0.0,,,3975142.0,0.0,,112998.0,32873.0,,770542.0,,,0.0,3979864.0,134754.27,0.0,,0.0,0.0,0.0,,0.0,
2006-12-31,10162946.0,3007286.0,0.0,0.0,729940.0,576073.0,,113209.0,,1959098.0,0.0,0.0,,,,,150286.0,158758.0,,,746.0,5947598.0,10162946.0,,2054388.0,998919.0,0.0,253958.0,0.0,582058.0,,51007.0,0.0,,,4857795.0,0.0,,96103.0,32412.0,,18781.0,,,0.0,4013486.0,134776.82,0.0,,0.0,0.0,0.0,,0.0,
2007-03-31,10400716.0,2786246.0,0.0,0.0,672150.0,636873.0,,190904.0,,2065239.0,0.0,0.0,,,,,160199.0,298071.0,,,710811.0,6228035.0,10400716.0,,2054427.0,878458.0,0.0,259035.0,0.0,519251.0,,6717.0,0.0,,,4820158.0,0.0,,100367.0,323985.0,,18143.0,,,0.0,4119666.0,134776.25,0.0,,0.0,0.0,0.0,,0.0,
2007-06-30,10788522.0,2884012.0,0.0,0.0,670586.0,644755.0,,199723.0,,2237323.0,0.0,0.0,,,,,165440.0,307799.0,,,0.0,6507776.0,10788522.0,,2054427.0,910042.0,0.0,270668.0,0.0,541966.0,,473.0,0.0,,,4935372.0,0.0,,104776.0,403151.0,,709790.0,,,0.0,4291750.0,134776.25,0.0,,0.0,0.0,0.0,,0.0,
2007-09-30,11143373.0,2965876.0,0.0,0.0,626193.0,693291.0,,248350.0,,2318492.0,0.0,0.0,,,,,168990.0,370205.0,,,0.0,6718208.0,11143373.0,,2054427.0,1103511.0,0.0,330922.0,0.0,646563.0,,453.0,0.0,,,4934850.0,0.0,,94477.0,517558.0,,642651.0,,,0.0,4372919.0,134776.25,0.0,,0.0,0.0,0.0,,0.0,
2007-12-31,11568393.0,3145113.0,0.0,0.0,731982.0,695461.0,,312407.0,,2320254.0,0.0,0.0,,,,,173472.0,506792.0,,,646.0,6887894.0,11568393.0,,2054427.0,1368256.0,0.0,401391.0,0.0,748402.0,,65096.0,0.0,,,4976453.0,0.0,,125333.0,620060.0,,20766.0,,,0.0,4374681.0,134776.82,0.0,,0.0,0.0,0.0,,0.0,
2008-03-31,11616202.0,3431284.0,0.0,0.0,715671.0,731479.0,,354934.0,,2480943.0,47651.0,0.0,,,,,182442.0,430870.0,,,391.0,6726921.0,11616202.0,,2054430.0,1138337.0,0.0,310632.0,450509.0,687204.0,,500.0,0.0,,,5108416.0,0.0,,102117.0,622181.0,,40003.0,,,0.0,4520293.0,134776.89,0.0,,0.0,0.0,0.0,,0.0,
2008-06-30,11413768.0,3273230.0,0.0,0.0,639297.0,765257.0,,298719.0,,2666504.0,40116.0,6786.19,,,,,191935.0,402281.0,,,357.0,6738619.0,11413768.0,,2054430.0,1195263.0,0.0,310791.0,457813.0,754821.0,,479.0,0.0,,,4846963.0,0.0,,112133.0,609382.0,,38090.0,,,0.0,4519136.0,127990.7,0.0,,0.0,0.0,0.0,,0.0,
2008-09-30,12038494.0,3868333.0,0.0,0.0,742891.0,899516.0,,396806.0,,2373430.0,56947.0,6786.19,,,,,207896.0,386935.0,,,0.0,6797102.0,12038494.0,,2054430.0,1507892.0,0.0,331281.0,462332.0,911941.0,,470.0,0.0,,,5455604.0,0.0,,123609.0,595934.0,,38620.0,,,0.0,4226062.0,127990.7,0.0,,0.0,0.0,0.0,,0.0,
2008-12-31,12958479.0,4406710.0,0.0,0.0,790042.0,881568.0,,405989.0,,1884027.0,45366.0,6786.19,,,,,215632.0,646647.0,,,0.0,6876776.0,12958479.0,,2054430.0,2356593.0,0.0,332665.0,460908.0,1736805.0,,470.0,0.0,,,5898239.0,0.0,,114465.0,623350.0,,22549.0,,,0.0,3736659.0,127990.7,0.0,,0.0,0.0,0.0,,0.0,
2009-03-31,12874096.0,4406882.0,0.0,0.0,775767.0,914355.0,,458091.0,,1973807.0,33479.0,6786.19,,,,,219729.0,622774.0,,,0.0,6831095.0,12874096.0,,2054430.0,2679285.0,0.0,294238.0,460068.0,2074842.0,,470.0,0.0,,,5402778.0,0.0,,83436.0,616166.0,,19311.0,,,0.0,3826439.0,127990.7,0.0,,0.0,0.0,0.0,,0.0,
2009-06-30,12570275.0,4226081.0,0.0,0.0,676049.0,688303.0,,323671.0,,2413047.0,32966.0,6786.19,,,,,227346.0,535386.0,,,0.0,6795388.0,12570275.0,,2054430.0,2086417.0,0.0,273728.0,459259.0,1640906.0,,422.0,0.0,,,5282570.0,0.0,,95249.0,610668.0,,28620.0,,,0.0,4265679.0,127990.7,0.0,,0.0,0.0,0.0,,0.0,
2009-09-30,12603228.16,4085732.0960000004,2446551.04,0.0,540126.0160000001,675134.9759999999,0.0,0.0,0.0,423920.0,971574.016,0.0,0.0,633569.024,0.0,0.0,0.0,0.0,0.0,338004.992,11277.0,7033183.232000001,501462.016,0.0,12603228.16,2118715.008,0.0,233380.992,77343.0,1544790.0159999998,0.0,422.0,262779.00800000003,0.0,0.0,6006137.856000001,4920762.048,0.0,805299.0079999999,0.0,0.0,280076.99199999997,0.0,0.0,0.0,4478374.912,2054429.9519999998,210615.008,0.0,1471796.9919999999,741532.9920000001,0.0,0.0,0.0,0.0
2009-12-31,12758969.344,4148254.9760000003,2533285.12,0.0,621195.0079999999,605657.024,0.0,0.0,0.0,388118.016,1134072.96,0.0,0.0,612225.9839999999,0.0,0.0,0.0,0.0,0.0,521847.008,13843.0,6961335.807999999,501462.016,0.0,12758969.344,2140050.944,0.0,268050.0,64698.0,1401498.936,0.0,170464.0,235340.0,0.0,0.0,6235138.0479999995,5097539.840000002,0.0,837913.984,0.0,0.0,299684.0,0.0,0.0,0.0,4383779.84,2054429.9519999998,246147.008,0.0,2083202.9440000001,0.0,0.0,0.0,0.0,0.0
2010-03-31,12817196.032,4371643.904,2398895.1040000003,0.0,591478.0160000001,650097.9839999999,0.0,0.0,0.0,731172.9920000001,982048.0,0.0,0.0,591745.9839999999,0.0,0.0,0.0,0.0,0.0,390302.016,13954.0,6948087.807999999,501462.016,0.0,12817196.032,1683353.9840000002,0.0,248678.0,114068.0,1044302.9920000001,0.0,3737.0,272568.0,0.0,0.0,6619888.128,5442321.0879999995,0.0,837104.0,0.0,0.0,340463.008,0.0,0.0,0.0,4513953.791999999,2054429.9519999998,246147.008,0.0,2083202.9440000001,130174.0,0.0,0.0,0.0,0.0
