,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2007-03-31,530515.0,214429.0,79143.0,0.0,134740.0,0.0,,0.0,,0.0,11769.0,0.0,,73455.0,73455.0,0.0,,0.0,0.0,-4910.0,0.0,265614.0,0.0,,530515.0,289578.0,,11140.0,,22294.0,14000.0,,184250.0,,,417281.0,0.0,47384.0,39636.0,5473.0,,2754.0,,,0.0,113234.0,69334.0,265614.0,,43900.0,,0.0,,,,,,36731.0,47384.0,42527.0,0.0,0.0,,,2292.0,0.0,0.0,0.0,0.0,,,,16279.0,0.0,0.0,,,-4910.0,9077.0
2007-06-30,1018992.0,495103.0,309258.0,0.0,185562.0,0.0,,0.0,,0.0,13559.0,0.0,,15191.0,15191.0,0.0,,0.0,0.0,-5014.0,0.0,279334.0,0.0,,1018992.0,119661.0,,17569.0,,19302.0,0.0,,14480.0,,,284539.0,98005.0,57423.0,37143.0,5291.0,,2754.0,,,0.0,734453.0,705734.0,279334.0,,28719.0,,0.0,,,,,,41751.0,57423.0,60141.0,0.0,0.0,,,2781.0,0.0,0.0,0.0,0.0,,,,-7386.0,0.0,0.0,,,-5014.0,-15181.0
2007-09-30,1115925.0,542977.0,267844.0,0.0,274820.0,0.0,,0.0,,0.0,13762.0,0.0,,15034.0,15034.0,0.0,,0.0,0.0,158.0,0.0,297186.0,0.0,,1115925.0,166660.0,,31556.0,,21079.0,0.0,,24790.0,,,365797.0,117012.0,74370.0,53245.0,5109.0,,2754.0,,,0.0,750128.0,705758.0,297186.0,,44370.0,,0.0,,,,,,56209.0,74370.0,68332.0,0.0,0.0,,,3804.0,0.0,0.0,0.0,0.0,,,,19297.0,0.0,0.0,,,158.0,15651.0
2007-12-31,1196448.0,630038.0,220900.0,0.0,113565.0,253825.0,,0.0,,0.0,71922.0,0.0,,12920.0,12920.0,293.0,,0.0,0.0,-104.0,0.0,0.0,229252.0,,1196448.0,181091.0,,26437.0,,24462.0,15000.0,,10386.0,,,417583.0,154744.0,85176.0,55266.0,4926.0,,2754.0,,,0.0,778865.0,705758.0,233357.0,,73107.0,,0.0,,,,,,119558.0,85176.0,131081.0,0.0,0.0,,,5922.0,0.0,0.0,0.0,24315.0,,,,49763.0,0.0,0.0,,,-104.0,43737.0
2008-03-31,1341698.0,689213.0,235203.0,0.0,155989.0,269564.0,,0.0,,0.0,99299.0,0.0,,11221.0,11221.0,418.0,,0.0,0.0,-292.0,0.0,0.0,222646.0,,1341698.0,188858.0,,58616.0,,21356.0,0.0,,9351.0,,,498112.0,230945.0,73829.0,53820.0,4744.0,,2754.0,,,0.0,843586.0,705782.0,289858.0,,137804.0,,0.0,,,,,,177479.0,73829.0,186057.0,0.0,0.0,,,7872.0,0.0,0.0,0.0,23455.0,,,,68919.0,0.0,0.0,,,-292.0,60755.0
2008-06-30,1448715.0,720835.0,212135.0,0.0,201413.0,266849.0,,0.0,,0.0,122058.0,0.0,,10875.0,10875.0,155.0,,0.0,0.0,-103.0,0.0,0.0,216283.0,,1448715.0,207775.0,,55106.0,,27314.0,0.0,,15791.0,,,542908.0,265847.0,75146.0,45487.0,4561.0,,2754.0,,,-242.0,905807.0,705782.0,330436.0,,200025.0,,0.0,,,,,,196470.0,75146.0,207322.0,0.0,0.0,,,8206.0,0.0,0.0,0.0,32992.0,,,,80592.0,0.0,0.0,,,-103.0,72283.0
2008-09-30,1633230.0,797019.0,217884.0,0.0,213704.0,300993.0,,0.0,,0.0,194016.0,0.0,,10945.0,10945.0,187.0,,0.0,0.0,-125.0,0.0,0.0,211490.0,,1633230.0,243406.0,,45895.0,,33095.0,0.0,,33707.0,,,691007.0,324635.0,90156.0,99408.0,4379.0,,2754.0,,,-753.0,942223.0,705782.0,366629.0,,236441.0,,0.0,,,,,,151003.0,90156.0,168267.0,0.0,0.0,,,9018.0,0.0,0.0,0.0,54076.0,,,,38893.0,0.0,0.0,,,-125.0,29750.0
2008-12-31,1614747.0,662942.0,172853.0,0.0,210603.0,237810.0,,0.0,,0.0,188143.0,0.0,,10336.0,10336.0,407.0,,0.0,0.0,-378.0,0.0,0.0,201998.0,,1614747.0,311382.0,,34935.0,,47001.0,45000.0,,33472.0,,,744858.0,309656.0,112543.0,101190.0,4196.0,,2754.0,,,0.0,869889.0,705782.0,529535.0,,162235.0,,0.0,,,,,,88022.0,112543.0,113580.0,0.0,0.0,,,7181.0,0.00010555,0.0,0.0,24862.0,,,,-4891.0,0.0,0.0,,,-378.0,-12450.0
2009-03-31,1597200.0,646958.0,180283.0,0.0,275671.0,217484.0,,1362.0,,0.0,192575.0,0.0,,10748.0,10748.0,446.0,,0.0,0.0,-407.0,0.0,0.0,199395.0,,1597200.0,307097.0,,26302.0,,40988.0,45000.0,,30817.0,,,726335.0,309115.0,128805.0,86338.0,5095.0,,2754.0,,,0.0,870865.0,705782.0,525800.0,,162709.0,,0.0,,,,,,109112.0,128805.0,128582.0,0.0,0.0,,,5108.0,0.0,0.0,0.0,23176.0,,,,5798.0,0.0,0.0,,,-407.0,283.0
2009-06-30,1646452.0,666926.0,224376.0,0.0,274148.0,187339.0,,944.0,,0.0,210827.0,0.0,,10659.0,10659.0,133.0,,0.0,0.0,-230.0,0.0,0.0,197510.0,,1646452.0,380945.0,,34994.0,,72716.0,45000.0,,30796.0,,,770966.0,286845.0,163981.0,80369.0,4450.0,,2691.0,,,0.0,875486.0,705782.0,540154.0,,168424.0,,0.0,,,,,,79866.0,163981.0,102168.0,0.0,0.0,,,2933.0,0.0,0.0,0.0,29202.0,,,,8687.0,0.0,0.0,,,-230.0,5524.0
2009-09-30,1657940.0,660628.0,201506.0,0.0,226563.0,188184.0,,963.0,,0.0,221916.0,0.0,,10821.0,10821.0,100.0,,0.0,0.0,-162.0,0.0,0.0,196001.0,,1657940.0,391808.0,,38987.0,,122931.0,0.0,,30744.0,,,771227.0,277447.0,166358.0,79046.0,3649.0,,3641.0,,,0.0,886713.0,705782.0,549360.0,,182561.0,,0.0,,,,,,109150.0,166358.0,130861.0,0.0,0.0,,,3218.0,0.0,0.0,0.0,31109.0,,,,17425.0,0.0,0.0,,,-162.0,14045.0
2009-12-31,1841646.976,908859.0079999999,396152.0,0.0,512707.008,0.0,0.0,0.0,0.0,0.0,286580.0,0.0,0.0,286580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452716.0,167155.008,26337.0,1841646.976,458599.008,0.0,34978.0,0.0,95839.0,0.0,30000.0,297782.016,0.0,0.0,440272.0,348905.0,0.0,88729.0,0.0,0.0,2638.0,0.0,0.0,9968.0,932808.0,705782.016,940.0,0.0,228247.008,0.0,-2161.0,0.0,0.0,0.0,145005.984,-10208.0,134797.984,-98844.0,35953.992,-10502.0,-15990.0,0.0,120987.0,4181.0,320.0,-50963.0,10888.0,-61851.0,0.0,0.0,0.0,83987.0,-6892.0,0.0,0.0,52400.0,-176.0,129319.008
2010-03-31,1769506.0480000002,824086.9759999999,389912.0,0.0,434175.008,0.0,0.0,0.0,0.0,0.0,321511.00800000003,0.0,0.0,321511.00800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457033.984,166874.0,0.0,1769506.0480000002,429368.0,0.0,28890.0,0.0,113568.0,0.0,30000.0,256910.0,0.0,0.0,415239.008,321811.0,0.0,90699.0,0.0,0.0,2729.0,0.0,0.0,10197.0,914702.016,705782.016,1130.0,0.0,209268.0,0.0,-1478.0,0.0,0.0,0.0,118163.0,-7691.0,110472.0,-72043.0,38429.0,-9297.0,-15485.0,0.0,0.0,-1599.0,474.0,-3602.0,8962.0,-12564.0,0.0,0.0,0.0,8920.0,-1334.0,0.0,0.0,0.0,-229.0,7357.0
2010-06-30,1710839.04,763238.9759999999,305030.016,0.0,458208.992,0.0,0.0,0.0,0.0,0.0,310167.00800000003,0.0,0.0,310167.00800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470816.0,166616.992,0.0,1710839.04,379943.008,0.0,29977.0,0.0,111105.0,0.0,0.0,238860.992,0.0,0.0,384667.008,289626.0,0.0,91994.0,0.0,0.0,3047.0,0.0,0.0,10390.0,935838.9759999999,705782.016,1320.0,0.0,229762.0,0.0,-1025.0,0.0,0.0,0.0,153720.0,-10405.0,143315.008,-91544.0,51771.0,-12902.0,-13209.0,0.0,0.0,-4023.0,209.0,586.0,12937.0,-12351.0,0.0,0.0,0.0,22432.0,-1742.0,0.0,0.0,0.0,-194.0,20496.0
