,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-12-31,137557.0,70737.0,10087.0,,15882.0,42554.0,,0.0,495.0,,23552.0,,,0.0,0.0,,,0.0,14167.0,0.0,,48368.0,0.0,,137557.0,46951.0,3410.0,32843.0,266.0,2836.0,,1878.0,141175.76,2673.0,,0.0,0.0,,3244.0,0.0,,690.0,,,0.0,87080.0,34000.0,19150.0,,0.0,1.8710000000000002e-05,-22453.0,,,,,,70309.0,-16684.0,86993.0,0.0,60.0,,1057.0,0.0,,0.0,0.0,0.0,,,,2908.0,30943.0,0.0,,,0.0,2642.0
2002-03-31,128678.0,63172.0,11216.0,,16944.0,31390.0,,0.0,1277.0,,23552.0,,,0.0,0.0,,,0.0,13844.0,0.0,,47741.0,0.0,,128678.0,36319.0,4321.0,17536.0,888.0,2809.0,,1877.0,141235.76,2448.0,,0.0,0.0,,3333.0,0.0,,721.0,,,0.0,88829.0,34000.0,18917.0,,0.0,1.237e-05,-22936.0,,,,,,69232.0,-16350.0,85582.0,0.0,0.0,,1038.0,0.0,,0.0,0.0,0.0,,,,2635.0,32743.0,0.0,,,0.0,1747.0
2002-06-30,140981.0,75808.0,19873.0,,18222.0,33755.0,,0.0,989.0,,23552.0,,,0.0,0.0,,,0.0,13763.0,0.0,,47515.0,0.0,,140981.0,47688.0,5045.0,20028.0,648.0,2781.0,,1140.0,141235.76,2389.0,,0.0,0.0,,3312.0,0.0,,667.0,,,0.0,89845.0,34000.0,19293.0,,0.0,1.67e-05,-23534.0,,,,,,76374.0,-18127.0,94501.0,0.0,0.0,,1030.0,0.0,,0.0,0.0,0.0,,,,3005.0,33813.0,0.0,,,0.0,2357.0
2002-09-30,135279.0,70613.0,14945.0,,16711.0,33937.0,,0.0,767.0,,23552.0,,,0.0,0.0,,,0.0,13550.0,0.0,,47341.0,0.0,,135279.0,40595.0,5846.0,15531.0,644.0,2754.0,,1125.0,141235.76,2356.0,,0.0,0.0,,3445.0,0.0,,683.0,,,0.0,91247.0,34000.0,19423.0,,0.0,7.3099999999999995e-06,-23971.0,,,,,,77141.0,-18312.0,95453.0,0.0,0.0,,918.0,0.0,,0.0,0.0,0.0,,,,1676.0,35269.0,0.0,,,0.0,1032.0
2002-12-31,153528.0,91266.0,15783.0,,17925.0,52527.0,,0.0,513.0,,23552.0,,,0.0,0.0,,,1.5e-06,13152.0,0.0,,47194.0,0.0,,153528.0,57829.0,4434.0,31124.0,764.0,2726.0,,2509.0,141175.76,2540.0,,0.0,0.0,,3678.0,0.0,,547.0,,,0.0,92426.0,34000.0,19693.0,,0.0,2.045e-05,-24670.0,,,,,,79947.0,-19069.0,99016.0,0.0,60.0,,780.0,0.0,,0.0,0.0,0.0,,,,3651.0,36502.0,0.0,,,0.0,2887.0
2003-03-31,141644.0,79457.0,15606.0,,18238.0,40459.0,,0.0,1426.0,,23552.0,,,0.0,0.0,,,0.0,12526.0,0.0,,47845.0,0.0,,141644.0,44501.0,4963.0,17334.0,988.0,2699.0,,2509.0,141235.76,3267.0,,0.0,0.0,,4903.0,0.0,,471.0,,,0.0,93973.0,34000.0,19490.0,,0.0,1.096e-05,-25041.0,,,,,,78897.0,-18855.0,97752.0,0.0,0.0,,766.0,0.0,,0.0,0.0,0.0,,,,2535.0,38102.0,0.0,,,0.0,1547.0
2003-06-30,155464.0,93093.0,21193.0,,20597.0,43877.0,,0.0,1147.0,,23552.0,,,0.0,0.0,,,0.0,12598.0,0.0,,47860.0,0.0,,155464.0,56121.0,5726.0,23769.0,1109.0,2671.0,,1512.0,141235.76,3353.0,,0.0,0.0,,5298.0,0.0,,470.0,,,0.0,96202.0,34000.0,19519.0,,0.0,2.8610000000000006e-05,-25504.0,,,,,,86850.0,-20745.0,107595.0,0.0,0.0,,997.0,0.0,,0.0,0.0,0.0,,,,5148.0,40384.0,0.0,,,0.0,4039.0
2003-09-30,156251.0,94295.0,18336.0,,20804.0,48181.0,,0.0,911.0,,23552.0,,,0.0,0.0,,,0.0,12391.0,0.0,,47724.0,0.0,,156251.0,57086.0,7318.0,22801.0,90.0,2644.0,,1512.0,141235.76,2816.0,,0.0,0.0,,5395.0,0.0,,462.0,,,0.0,96059.0,34000.0,19851.0,,0.0,-1.01e-06,-26122.0,,,,,,87592.0,-21000.0,108592.0,0.0,0.0,,919.0,0.0,,0.0,0.0,0.0,,,,-52.0,40294.0,0.0,,,0.0,-142.0
2003-12-31,166252.0,104647.0,22976.0,,21561.0,55613.0,,0.0,630.0,,23552.0,,,0.0,0.0,,,1.6669999999999998e-05,12274.0,0.0,,47507.0,0.0,,166252.0,66296.0,5368.0,40970.0,435.0,2616.0,,1946.0,141175.76,2999.0,,0.0,0.0,,5454.0,0.0,,473.0,,,0.0,96867.0,34000.0,20181.0,,0.0,1.073e-05,-26728.0,,,,,,91334.0,-21934.0,113268.0,0.0,60.0,,939.0,0.0,,0.0,0.0,0.0,,,,1950.0,41157.0,0.0,,,0.0,1515.0
2004-03-31,161449.0,100001.0,19370.0,,21695.0,53261.0,,0.0,1514.0,,23350.0,,,0.0,0.0,,,0.0,2106.0,0.0,,57562.0,0.0,,161449.0,62422.0,6196.0,32933.0,-158.0,2551.0,,1945.0,141175.76,3193.0,,0.0,0.0,,36325.0,0.0,,376.0,,,0.0,96100.0,34000.0,20531.0,,0.0,-3.4100000000000004e-06,-47601.0,,,,,,91220.0,-20414.0,111634.0,0.0,60.0,,790.0,0.0,,0.0,0.0,0.0,,,,-639.0,40641.0,0.0,,,0.0,-481.0
2004-06-30,172245.0,111086.0,21521.0,,24851.0,55987.0,,0.0,1203.0,,23159.0,,,0.0,0.0,,,8e-06,1778.0,0.0,,57635.0,0.0,,172245.0,70473.0,7312.0,37644.0,1607.0,2513.0,,979.0,141175.76,3103.0,,0.0,0.0,,37243.0,0.0,,222.0,,,0.0,99037.0,40000.0,20682.0,,0.0,2.993e-05,-48239.0,,,,,,103846.0,-23279.0,127125.0,0.0,60.0,,803.0,0.0,,0.0,0.0,0.0,,,,5833.0,37656.0,0.0,,,0.0,4226.0
2004-09-30,178226.0,117268.0,20009.0,,26678.0,63142.0,,0.0,914.0,,23159.0,,,0.0,0.0,,,0.0,1648.0,0.0,,57558.0,0.0,,178226.0,75469.0,8573.0,42139.0,534.0,2486.0,,979.0,141175.76,3161.0,,0.0,0.0,,37706.0,0.0,,195.0,,,0.0,100076.0,40000.0,20774.0,,0.0,7.3700000000000014e-06,-49034.0,,,,,,112658.0,-25124.0,137782.0,0.0,60.0,,840.0,0.0,,0.0,0.0,0.0,,,,1575.0,38748.0,0.0,,,0.0,1041.0
2004-12-31,194891.0,134825.0,19720.0,,28393.0,81463.0,,0.0,567.0,,23159.0,,,0.0,0.0,,,1.217e-05,1525.0,0.0,,56902.0,0.0,,194891.0,90708.0,6491.0,66580.0,686.0,2460.0,,2360.0,141175.76,2831.0,,0.0,0.0,,36866.0,0.0,,198.0,,,0.0,101525.0,40000.0,21121.0,,0.0,2.242e-05,-50340.0,,,,,,119194.0,-27151.0,146345.0,0.0,60.0,,732.0,0.0,,0.0,0.0,0.0,,,,3851.0,40249.0,0.0,,,0.0,3165.0
2005-03-31,178436.0,118046.0,13481.0,,28293.0,69120.0,,58.0,1674.0,,23159.0,,,0.0,0.0,,,0.0,1406.0,0.0,,57281.0,0.0,,178435.0,74988.0,7548.0,46550.0,-42.0,2440.0,,2359.0,141175.76,3203.0,,58.0,0.0,,36449.0,0.0,,202.0,,,0.0,100747.0,40000.0,21815.0,,0.0,-5.5200000000000005e-06,-50751.0,,,,,,116367.0,-25879.0,142246.0,0.0,60.0,,781.0,0.0,,0.0,0.0,0.0,,,,-821.0,39529.0,0.0,,,0.0,-779.0
2005-06-30,190287.0,126584.0,17276.0,,32287.0,68380.0,,55.0,1341.0,,23159.0,,,0.0,0.0,,,8e-06,1287.0,0.0,,60505.0,0.0,,190286.0,83450.0,8677.0,46694.0,1710.0,2406.0,,1045.0,141175.76,3431.0,,55.0,0.0,,37848.0,0.0,,206.0,,,0.0,104169.0,40000.0,23475.0,,0.0,3.262e-05,-51728.0,,,,,,133172.0,-29572.0,162744.0,0.0,60.0,,843.0,0.0,,0.0,0.0,0.0,,,,6315.0,42996.0,0.0,,,0.0,4605.0
2005-09-30,191554.0,127352.0,17754.0,,33786.0,65931.0,,52.0,1157.0,,23159.0,,,0.0,0.0,,,8.5e-06,1171.0,0.0,,61344.0,0.0,,191553.0,82629.0,10411.0,50246.0,1206.0,2379.0,,1045.0,141175.76,2737.0,,52.0,0.0,,38552.0,0.0,,210.0,,,0.0,106283.0,40000.0,23900.0,,0.0,1.497e-05,-52807.0,,,,,,139772.0,-30955.0,170727.0,0.0,60.0,,706.0,0.0,,0.0,0.0,0.0,,,,3320.0,45162.0,0.0,,,0.0,2114.0
