,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,1130128.0,226814.0,3222.0,,0.00013154000000000003,6555.0,,0.0,797.0,0.0,69849.0,,,,,,,,,,0.0,0.00013154000000000003,0.0,,1130128.0,126629.0,,18736.0,4168.0,2083.0,,0.0,27267.0,,,268530.0,0.0,,809.0,0.0,,0.0,,,,861598.0,38213.0,63778.0,,0.0,102343.0,,,0.0,
2002-03-31,1123077.0,221435.0,1281.0,,0.00019165,6804.0,,0.0,555.0,0.0,81911.0,,,,,,,,,,0.0,0.00019165,0.0,,1123077.0,114381.0,,6844.0,2118.0,936.0,,0.0,18288.0,,,254398.0,0.0,,809.0,0.0,,0.0,,,,868679.0,88419.0,85601.0,,0.0,33318.0,,,0.0,
2002-06-30,1130295.0,232763.0,7380.0,,0.00029052,7150.0,,0.0,229.0,0.0,83878.0,,,,,,,,,,0.0,0.00029052,0.0,,1130295.0,114358.0,,7287.0,0.0,1387.0,,0.0,18300.0,,,250882.0,0.0,,809.0,0.0,,0.0,,,,879413.0,90894.0,21758.0,,0.0,28604.0,,,0.0,
2002-09-30,1147931.0,246640.0,980.0,,0.00085687,7500.0,,0.0,3860.0,0.0,61275.0,,,,,,,,,,0.0,0.00085687,0.0,,1147931.0,103424.0,,7398.0,0.0,605.0,,0.0,15396.0,,,236859.0,0.0,,809.0,0.0,,0.0,,,,911072.0,82431.0,21541.0,,0.0,-6907.0,,,0.0,
2002-12-31,1154602.0,208789.0,429.0,,-0.00029715000000000004,6529.0,,0.0,3103.0,0.0,45293.0,,,,,,,,,,3206.0,-0.00029715000000000004,0.0,,1154602.0,84456.0,,5264.0,0.0,1091.0,,0.0,29994.0,,,254509.0,12823.0,,578.0,0.0,,699.0,,,,900093.0,24010.0,48856.0,,0.0,121135.0,,,0.0,
2003-03-31,1144227.0,128095.0,46297.0,,-0.00028903,6664.0,,0.0,2386.0,0.0,53404.0,,,,,,,,,,68.0,-0.00028903,0.0,,1144227.0,75736.0,,4394.0,72317.0,906.0,,0.0,15981.0,,,254813.0,13251.0,,578.0,0.0,,1889.0,,,,889414.0,17445.0,52464.0,,0.0,45758.0,,,0.0,
2003-06-30,1137818.0,125339.0,12330.0,,-0.00031348000000000004,7304.0,,0.0,1584.0,0.0,59437.0,,,,,,,,,,68.0,-0.00031348000000000004,0.0,,1137818.0,79722.0,,3361.0,72317.0,820.0,,0.0,15047.0,,,258407.0,12799.0,,2157.0,0.0,,1809.0,,,,879411.0,17783.0,80327.0,,0.0,42378.0,,,0.0,
2003-09-30,1122095.0,101365.0,9823.0,,1.746e-05,7388.0,,0.0,783.0,0.0,5400.0,,,,,,,,,,9004.0,1.746e-05,0.0,,1122095.0,47906.0,,5623.0,72317.0,1682.0,,0.0,26925.0,,,242039.0,30765.0,,2161.0,0.0,,954.0,,,,880056.0,21788.0,61488.0,,0.0,35685.0,,,0.0,
2003-12-31,1117865.0,93937.0,20765.0,,-9.901e-05,7004.0,,0.0,31.0,0.0,5222.0,,,,,,,,,,9187.0,-9.901e-05,0.0,,1117865.0,56587.0,,3889.0,0.0,4693.0,,0.0,35613.0,,,241467.0,29093.0,,2161.0,0.0,,2676.0,,,,876398.0,30534.0,33538.0,,0.0,51350.0,,,0.0,
2004-03-31,1116202.0,96310.0,2850.0,,1.675e-05,6932.0,,0.0,136.0,0.0,4071.0,,,,,,,,,,9362.0,1.675e-05,0.0,,1116202.0,54951.0,,3790.0,0.0,1089.0,,0.0,35320.0,,,239185.0,27306.0,,2161.0,0.0,,2408.0,,,,877017.0,38248.0,44617.0,,0.0,43427.0,,,0.0,
2004-06-30,1107934.0,92817.0,2661.0,,-0.00013387000000000002,6845.0,,0.0,93.0,0.0,6000.0,,,,,,,,,,9519.0,-0.00013387000000000002,0.0,,1107934.0,49574.0,,2666.0,0.0,1426.0,,0.0,29458.0,,,235863.0,25385.0,,2161.0,0.0,,1931.0,,,,872071.0,33410.0,41225.0,,0.0,45092.0,,,0.0,
2004-09-30,1125929.0,98977.0,7079.0,,0.00023488,6537.0,,0.0,50.0,0.0,7372.0,,,,,,,,,,9708.0,0.00023488,0.0,,1125929.0,55585.0,,2799.0,0.0,837.0,,0.0,33813.0,,,245180.0,23460.0,,2161.0,0.0,,1893.0,,,,880749.0,27931.0,52342.0,,0.0,49348.0,,,0.0,
2004-12-31,1131608.0,109899.0,35356.0,,0.0001307,6553.0,,0.0,29.0,0.0,4622.0,,,,,,,,,,9940.0,0.0001307,0.0,,1131608.0,57401.0,,6756.0,0.0,5405.0,,0.0,34424.0,,,246030.0,21537.0,,2161.0,1580.0,,1659.0,,,,885578.0,26927.0,33228.0,,0.0,54136.0,,,0.0,
2005-03-31,1103540.0,84495.0,23697.0,,-0.00040509,6520.0,,0.0,76.0,0.0,1610.0,,,,,,,,,,10146.0,-0.00040509,0.0,,1103540.0,46997.0,,2473.0,0.0,879.0,,0.0,31144.0,,,232929.0,19446.0,,2145.0,1579.0,,1624.0,,,,870611.0,15419.0,29057.0,,0.0,44405.0,,,0.0,
2005-06-30,1078238.0,72963.0,9493.0,,-0.0007148899999999999,6732.0,,0.0,51.0,0.0,4236.0,,,,,,,,,,10378.0,-0.0007148899999999999,0.0,,1078238.0,50223.0,,2156.0,0.0,784.0,,0.0,32378.0,,,233864.0,17297.0,,2281.0,1579.0,,1075.0,,,,844374.0,15872.0,30751.0,,0.0,49632.0,,,0.0,
2005-09-30,1072017.0,81467.0,7498.0,,-8.961e-05,6917.0,,0.0,26.0,0.0,2965.0,,,,,,,,,,10623.0,-8.961e-05,0.0,,1072017.0,51013.0,,1732.0,0.0,965.0,,0.0,34701.0,,,230954.0,15050.0,,2281.0,1579.0,,992.0,,,,841063.0,25653.0,31120.0,,0.0,40195.0,,,0.0,
